"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-"
"*070bg*","Jackson Tchatchoua","WOL","D","256","FA","WOL 1<br/>@BUR 1 F","128.75","4.15","-","-"
"*03hff*","Josh Cullen","BUR","M","257","FA","WOL 1<br/>@BUR 1 F","128.25","7.12","0%","0%"
"*06uzy*","Ao Tanaka","LEE","M","258","FA","LEE 0<br/>@WHU 3 F","125.75","4.49","4%","-1%"
"*06yxe*","Estevao","CHE","F","259","FA","CHE 1<br/>@SUN 2 F","124.75","5.67","93%","+1%"
"*06rm7*","Nico Gonzalez","MCI","M","260","FA","AVL 2<br/>@MCI 1 F","123","4.92","5%","-1%"
"*06ybq*","Chemsdine Talbi","SUN","F","261","FA","CHE 1<br/>@SUN 2 F","122.25","4.37","7%","-2%"
"*05t6z*","Tim Iroegbunam","EVE","M","262","FA","EVE 0<br/>@TOT 1 F","121.25","4.18","3%","-1%"
"*052h5*","Gabriel Martinelli","ARS","M","263","FA","ARS 2<br/>@CRY 1 F","120.5","4.02","49%","-5%"
"*05t6y*","Hannibal Mejbri","BUR","M","264","FA","WOL 1<br/>@BUR 1 F","120.25","4.45","0%","0%"
"*05t6x*","William Osula","NEW","F","265","FA","NEW 0<br/>@FUL 2 F","120","5","88%","-4%"
"*070hb*","Jaydee Canvot","CRY","D","266","FA","ARS 2<br/>@CRY 1 F","119.25","5.96","17%","+6%"
"*06crm*","Pau Torres","AVL","D","267","FA","AVL 2<br/>@MCI 1 F","119.25","5.68","7%","-2%"
"*06p4k*","Matthijs de Ligt","MUN","D","268","FA","MUN 3<br/>@BHA 0 F","118.5","9.12","11%","-4%"
"*06v0t*","Wilson Isidor","SUN","F","269","FA","CHE 1<br/>@SUN 2 F","117.25","3.66","5%","-1%"
"*070hp*","Randal Kolo Muani","TOT","F","270","FA","EVE 0<br/>@TOT 1 F","114","3.8","0%","0%"
"*05s08*","Valentino Livramento","NEW","D","271","FA","NEW 0<br/>@FUL 2 F","113.25","6.66","20%","-3%"
"*061ya*","Brennan Johnson","TOT/CRY","F","272","FA","ARS 2<br/>@CRY 1 F","112","3.29","10%","-2%"
"*03dyx*","Josh Laurent","BUR","M","273","FA","WOL 1<br/>@BUR 1 F","110.25","3.34","-","-"
"*06jh3*","Joshua King","FUL","M","275","FA","NEW 0<br/>@FUL 2 F","109.5","3.42","6%","-2%"
"*061ve*","Ryan Christie","BOU","M","274","FA","BOU 1<br/>@NOT 1 F","109.5","4.21","3%","+1%"
"*06c4h*","Hjalmar Ekdal","BUR","D","276","FA","WOL 1<br/>@BUR 1 F","108.25","5.7","-","-"
"*05ye7*","Oscar Bobb","MCI/FUL","M","277","FA","NEW 0<br/>@FUL 2 F","107.25","4.66","71%","-7%"
"*02oq8*","James Ward-Prowse","WHU/BUR","M","278","FA","WOL 1<br/>@BUR 1 F","107.25","5.96","0%","0%"
"*066sh*","Bashir Humphreys","BUR","D","279","FA","WOL 1<br/>@BUR 1 F","107","5.35","-","-"
"*06r2g*","Rio Ngumoha","LIV","F","280","FA","BRF 1<br/>@LIV 1 F","105.75","5.57","90%","-1%"
"*06p4j*","Noussair Mazraoui","MUN","D","281","FA","MUN 3<br/>@BHA 0 F","105.5","5.28","7%","-2%"
"*06fhy*","Wilson Odobert","TOT","F","282","FA","EVE 0<br/>@TOT 1 F","105.25","4.39","3%","-1%"
"*04spp*","Douglas Luiz","AVL/NOT","M","283","FA","AVL 2<br/>@MCI 1 F","105","5","100%","0%"
"*06fy7*","Nicolas Dominguez","NOT","M","284","FA","BOU 1<br/>@NOT 1 F","104.25","3.86","6%","-2%"
"*051k8*","Conor Gallagher","CHE/TOT","M","286","FA","EVE 0<br/>@TOT 1 F","103.5","6.47","21%","-1%"
"*02lpf*","Ross Barkley","AVL","M","285","FA","AVL 2<br/>@MCI 1 F","103.5","4.93","7%","-2%"
"*04p0d*","Dwight McNeil","EVE","M","288","FA","EVE 0<br/>@TOT 1 F","103.25","4.69","14%","-7%"
"*070ho*","Lutsharel Geertruida","SUN","D","287","FA","CHE 1<br/>@SUN 2 F","103.25","3.69","0%","0%"
"*06y29*","Habib Diarra","SUN","M","289","FA","CHE 1<br/>@SUN 2 F","101.75","5.09","4%","-1%"
"*06zna*","Dan Ndoye","NOT","F","290","FA","BOU 1<br/>@NOT 1 F","100","4.17","30%","-9%"
"*06y27*","Loum Tchaouna","BUR","F","291","FA","WOL 1<br/>@BUR 1 F","100","3.45","4%","+3%"
"*03zsq*","Kyle Walker-Peters","WHU","D","292","FA","LEE 0<br/>@WHU 3 F","100","4.35","0%","0%"
"*06v01*","Ilia Gruev","LEE","M","293","FA","LEE 0<br/>@WHU 3 F","99.25","4.32","2%","0%"
"*06fwi*","Carlos Baleba","BHA","M","294","FA","MUN 3<br/>@BHA 0 F","99","3.19","8%","-3%"
"*03fgo*","Dominic Solanke","TOT","F","295","FA","EVE 0<br/>@TOT 1 F","98.75","6.58","97%","-1%"
"*04f6o*","Will Hughes","CRY","M","296","FA","ARS 2<br/>@CRY 1 F","98.5","3.18","2%","0%"
"*05y7c*","Archie Gray","TOT","M","297","FA","EVE 0<br/>@TOT 1 F","98","4.08","6%","-2%"
"*06fxv*","Jean-Ricner Bellegarde","WOL","M","298","FA","WOL 1<br/>@BUR 1 F","97.5","3.75","0%","0%"
"*03rec*","Tyrone Mings","AVL","D","299","FA","AVL 2<br/>@MCI 1 F","96.75","5.69","4%","0%"
"*06uzn*","Lucas Pires","BUR","D","300","FA","WOL 1<br/>@BUR 1 F","96.75","4.84","0%","0%"
"*04e1e*","Ben White","ARS","D","301","FA","ARS 2<br/>@CRY 1 F","96.25","8.02","15%","+4%"
"*06rf9*","Omar Marmoush","MCI","F","303","FA","AVL 2<br/>@MCI 1 F","96","4.57","78%","-7%"
